review	aspect	sentiment
hutan monyet adalah cara yang mengagumkan untuk melihat monyet di habitat alami, tetapi harap diingat bahwa mereka masih liar. ransel, makanan, botol  kacamata  topi dll. apakah semua cara untuk mendapatkan perhatian negatif dari monyet dan staf akan menyarankan agar anda melepaskan apa pun yang mereka inginkan atau mereka bisa menjadi agresif. banyak keluarga dengan anak-anak mengunjungi ketika kami berada di sana dan seorang gadis muda diserang oleh satu hanya karena mencoba untuk mendapatkan foto di sebelah satu. [SEP] sekelompok orang yang bekerja sama membantu seorang ketua dalam mengelola sesuatu [SEP] sekelompok perwira yang memimpin (mengatur dan sebagainya) tentara [SEP] bagian organisasi yang tidak mempunyai hak memberikan perintah, tetapi mempunyai hak membantu pimpinan, memberikan nasihat, dan sebagainya	staf	1
hutan monyet adalah cara yang mengagumkan untuk melihat monyet di habitat alami, tetapi harap diingat bahwa mereka masih liar. ransel, makanan, botol  kacamata  topi dll. apakah semua cara untuk mendapatkan perhatian negatif dari monyet dan staf akan menyarankan agar anda melepaskan apa pun yang mereka inginkan atau mereka bisa menjadi agresif. banyak keluarga dengan anak-anak mengunjungi ketika kami berada di sana dan seorang gadis muda diserang oleh satu hanya karena mencoba untuk mendapatkan foto di sebelah satu. [SEP] ibu dan bapak beserta anak-anaknya [SEP] orang seisi rumah yang menjadi tanggungan [SEP] (kaum --) sanak saudara [SEP] satuan kekerabatan yang sangat mendasar dalam masyarakat [SEP] serangkaian produk perangkat keras atau perangkat lunak yang memiliki beberapa sifat yang sama	keluarga	0
parkiran cukup luas, jalan menuju kecamatan sekitar 5-10 menit, tiba di kecamatan sudah tampak hamparan terasiring yang cantik dan rapih. jalan naik dan turun untuk menikmati keindahan alam. banyak pendopo dan warung untuk istirahat. ada beberapa pos yang dijaga dan minta sumbangan. [SEP] tempat parkir [SEP] tempat parkir	parkiran	1
parkiran cukup luas, jalan menuju kecamatan sekitar 5-10 menit, tiba di kecamatan sudah tampak hamparan terasiring yang cantik dan rapih. jalan naik dan turun untuk menikmati keindahan alam. banyak pendopo dan warung untuk istirahat. ada beberapa pos yang dijaga dan minta sumbangan. [SEP] daerah bagian kabupaten (kota) yang membawahkan beberapa desa atau kelurahan, dikepalai oleh seorang camat [SEP] bagian pemerintahan daerah yang dikepalai seorang camat [SEP] kantor camat	kecamatan	1
parkiran cukup luas, jalan menuju kecamatan sekitar 5-10 menit, tiba di kecamatan sudah tampak hamparan terasiring yang cantik dan rapih. jalan naik dan turun untuk menikmati keindahan alam. banyak pendopo dan warung untuk istirahat. ada beberapa pos yang dijaga dan minta sumbangan. [SEP] bangunan yang luas terbuka (tanpa batas atau sekat), terletak di bagian depan rumah, disediakan untuk pertemuan, rapat, peralatan, serta keperluan lain yang ada hubungannya dengan keperluan masyarakat	pendopo	0
parkiran cukup luas, jalan menuju kecamatan sekitar 5-10 menit, tiba di kecamatan sudah tampak hamparan terasiring yang cantik dan rapih. jalan naik dan turun untuk menikmati keindahan alam. banyak pendopo dan warung untuk istirahat. ada beberapa pos yang dijaga dan minta sumbangan. [SEP] tempat menjual makanan, minuman, kelontong, dan sebagainya	warung	0
parkiran cukup luas, jalan menuju kecamatan sekitar 5-10 menit, tiba di kecamatan sudah tampak hamparan terasiring yang cantik dan rapih. jalan naik dan turun untuk menikmati keindahan alam. banyak pendopo dan warung untuk istirahat. ada beberapa pos yang dijaga dan minta sumbangan. [SEP] jawatan yang menyelenggarakan kirim-mengirim barang, surat, uang, dan sebagainya [SEP] kantor tempat kirim-mengirim surat, uang, dan sebagainya [SEP] surat-surat dan sebagainya yang dikirim dengan perantaraan pos [SEP] kereta (kuda) pengangkut surat dan sebagainya (pada zaman dahulu) [SEP] tempat perhentian kereta pos (pada zaman dahulu) [SEP] perhentian (kereta api, trem dan sebagainya) [SEP] tulisan atau unggahan yang disebarkan melalui media sosial [SEP] tempat penjagaan (tentara, polisi, pengamat gunung berapi, dan sebagainya) [SEP] tempat kedudukan (orang yang melakukan tugas dan sebagainya) [SEP] tempat berkumpul [SEP] jumlah uang yang disediakan untuk suatu keperluan (jawatan dan sebagainya) [SEP] bagian dari mata anggaran belanja [SEP] prosedur operasional standar	pos	0
spot matahari terbenam yang sangat bagus.. saya kita tidak kebagian tiket pagelaran tari becak dengan latar belakang matahari terbenam nya.. [SEP] tempat yang digunakan untuk kegiatan tertentu (olahraga, wisata, belajar, dan sebagainya)	spot	1
pasirnya enak, tapi tempatnya agak jauh dari mana-mana. ada baiknya sewa mobil dan sediakan waktu cukup banyak [SEP] butir-butir batu yang halus [SEP] lapisan tanah atau timbunan kersik halus [SEP] berbutir-butir sebagai pasir [SEP] laut	pasir	1
pasirnya enak, tapi tempatnya agak jauh dari mana-mana. ada baiknya sewa mobil dan sediakan waktu cukup banyak [SEP] sesuatu yang dipakai untuk menaruh (menyimpan, meletakkan, dan sebagainya) [SEP] ruang (bidang, rumah, dan sebagainya) yang tersedia untuk melakukan sesuatu [SEP] ruang (bidang dan sebagainya) yang dipakai untuk menaruh (menyimpan, mengumpulkan, dan sebagainya) [SEP] ruang (bidang, rumah, daerah, dan sebagainya) yang didiami (ditinggali) atau ditempati [SEP] bagian yang tertentu dari suatu ruang (bidang, daerah, dan sebagainya) [SEP] negeri (kota, desa, daerah, dan sebagainya) [SEP] sesuatu yang dapat (dipercaya) menampung (tentang isi hati, keluhan, pertanyaan, dan sebagainya) [SEP] kedudukan	tempat	-1
pasirnya enak, tapi tempatnya agak jauh dari mana-mana. ada baiknya sewa mobil dan sediakan waktu cukup banyak [SEP] kendaraan darat yang digerakkan oleh tenaga mesin, beroda empat atau lebih (selalu genap), biasanya menggunakan bahan bakar minyak untuk menghidupkan mesinnya [SEP] mudah bergerak (berpindah) atau digerakkan (dipindah-pindahkan)	mobil	0
pasirnya enak, tapi tempatnya agak jauh dari mana-mana. ada baiknya sewa mobil dan sediakan waktu cukup banyak [SEP] seluruh rangkaian saat ketika proses, perbuatan, atau keadaan berada atau berlangsung [SEP] lamanya (saat yang tertentu) [SEP] saat yang tertentu untuk melakukan sesuatu [SEP] kesempatan [SEP] ketika, saat [SEP] hari (keadaan hari) [SEP] saat yang ditentukan berdasarkan pembagian bola dunia	waktu	0
yang paling luar biasa dan pantai yang fantastis di seluruh bali! pasir yang dibersihkan setiap hari dan tidur yang nyaman untuk semua orang [SEP] tepi laut [SEP] perbatasan daratan dengan laut atau massa air yang lain dan bagian yang dapat pengaruh dari air tersebut [SEP] daerah pasang surut di pantai antara pasang tertinggi dan surut terendah [SEP] landai	pantai	1
yang paling luar biasa dan pantai yang fantastis di seluruh bali! pasir yang dibersihkan setiap hari dan tidur yang nyaman untuk semua orang [SEP] butir-butir batu yang halus [SEP] lapisan tanah atau timbunan kersik halus [SEP] berbutir-butir sebagai pasir [SEP] laut	pasir	1
yang paling luar biasa dan pantai yang fantastis di seluruh bali! pasir yang dibersihkan setiap hari dan tidur yang nyaman untuk semua orang [SEP] dalam keadaan berhenti (mengaso) badan dan kesadarannya (biasanya dengan memejamkan mata) [SEP] mengistirahatkan badan dan kesadarannya [SEP] berbaring [SEP] keadaan tidak aktif (tentang gunung dan sebagainya)	tidur	1
pantai pantai adalah tenang semenanjung. hotel ini sangat bagus untuk berjalan atau lari di sepanjang pantai pada pagi hari atau matahari terbenam  ada hanya kecil seperti begitu banyak hotel dibangun di pantai  biasanya pantai ini bersih dan lingkungan yang terawat dengan baik. [SEP] bangunan berkamar banyak yang disewakan sebagai tempat untuk menginap dan tempat makan orang yang sedang dalam perjalanan	hotel	1
pantai pantai adalah tenang semenanjung. hotel ini sangat bagus untuk berjalan atau lari di sepanjang pantai pada pagi hari atau matahari terbenam  ada hanya kecil seperti begitu banyak hotel dibangun di pantai  biasanya pantai ini bersih dan lingkungan yang terawat dengan baik. [SEP] tepi laut [SEP] perbatasan daratan dengan laut atau massa air yang lain dan bagian yang dapat pengaruh dari air tersebut [SEP] daerah pasang surut di pantai antara pasang tertinggi dan surut terendah [SEP] landai	pantai	1
pantai pantai adalah tenang semenanjung. hotel ini sangat bagus untuk berjalan atau lari di sepanjang pantai pada pagi hari atau matahari terbenam  ada hanya kecil seperti begitu banyak hotel dibangun di pantai  biasanya pantai ini bersih dan lingkungan yang terawat dengan baik. [SEP] tepi laut [SEP] perbatasan daratan dengan laut atau massa air yang lain dan bagian yang dapat pengaruh dari air tersebut [SEP] daerah pasang surut di pantai antara pasang tertinggi dan surut terendah [SEP] landai	pantai	1
pantai pantai adalah tenang semenanjung. hotel ini sangat bagus untuk berjalan atau lari di sepanjang pantai pada pagi hari atau matahari terbenam  ada hanya kecil seperti begitu banyak hotel dibangun di pantai  biasanya pantai ini bersih dan lingkungan yang terawat dengan baik. [SEP] tepi laut [SEP] perbatasan daratan dengan laut atau massa air yang lain dan bagian yang dapat pengaruh dari air tersebut [SEP] daerah pasang surut di pantai antara pasang tertinggi dan surut terendah [SEP] landai	pantai	1
pantai pantai adalah tenang semenanjung. hotel ini sangat bagus untuk berjalan atau lari di sepanjang pantai pada pagi hari atau matahari terbenam  ada hanya kecil seperti begitu banyak hotel dibangun di pantai  biasanya pantai ini bersih dan lingkungan yang terawat dengan baik. [SEP] daerah (kawasan dan sebagainya) yang termasuk di dalamnya [SEP] bagian wilayah dalam kelurahan yang merupakan lingkungan kerja pelaksanaan pemerintahan desa [SEP] golongan [SEP] semua yang memengaruhi pertumbuhan manusia atau hewan [SEP] konfigurasi sumber daya yang tersedia bagi pengguna	lingkungan	1
saya menyempatkan dari untuk mengunjungi objek ini, mungkin karena kebun binatang ini letaknya di bali  harga ticketnya lumayan mahal, satwanya juga beraneka ragam, mungkin ini alasannya bnyak siswa yang berdatangan yang datang untuk mempelajari kehidupan binatang di sini  [SEP] nilai barang yang ditentukan atau dirupakan dengan uang [SEP] jumlah uang atau alat tukar lain yang senilai, yang harus dibayarkan untuk produk atau jasa, pada waktu tertentu dan di pasar tertentu [SEP] kehormatan (diri) [SEP] guna (arti, kepentingan, kabar, dan sebagainya)	harga	-1
saya menyempatkan dari untuk mengunjungi objek ini, mungkin karena kebun binatang ini letaknya di bali  harga ticketnya lumayan mahal, satwanya juga beraneka ragam, mungkin ini alasannya bnyak siswa yang berdatangan yang datang untuk mempelajari kehidupan binatang di sini  [SEP] binatang	satwa	0
saya menyempatkan dari untuk mengunjungi objek ini, mungkin karena kebun binatang ini letaknya di bali  harga ticketnya lumayan mahal, satwanya juga beraneka ragam, mungkin ini alasannya bnyak siswa yang berdatangan yang datang untuk mempelajari kehidupan binatang di sini  [SEP] murid (terutama pada tingkat sekolah dasar dan menengah)	siswa	0
saya menyempatkan dari untuk mengunjungi objek ini, mungkin karena kebun binatang ini letaknya di bali  harga ticketnya lumayan mahal, satwanya juga beraneka ragam, mungkin ini alasannya bnyak siswa yang berdatangan yang datang untuk mempelajari kehidupan binatang di sini  [SEP] tempat memelihara berbagai binatang untuk pelindungan, pembiakan, penelitian, dan sebagai tempat rekreasi	kebun binatang	0
saya tidak yakin apa yang lebih menyenangkan di tempat ini - pemandangan atau kecak .. keduanya merupakan hal yang anda harus melihat ketika di bali! tarian ini menjadi hanya 1 jam-bermain, sinopsis semua pararasul tersedia dalam bahasa inggris, dan harus jujur tanpa itu, itu adalah sangat sulit untuk bayangan tersebut. [SEP] sesuatu yang dipakai untuk menaruh (menyimpan, meletakkan, dan sebagainya) [SEP] ruang (bidang, rumah, dan sebagainya) yang tersedia untuk melakukan sesuatu [SEP] ruang (bidang dan sebagainya) yang dipakai untuk menaruh (menyimpan, mengumpulkan, dan sebagainya) [SEP] ruang (bidang, rumah, daerah, dan sebagainya) yang didiami (ditinggali) atau ditempati [SEP] bagian yang tertentu dari suatu ruang (bidang, daerah, dan sebagainya) [SEP] negeri (kota, desa, daerah, dan sebagainya) [SEP] sesuatu yang dapat (dipercaya) menampung (tentang isi hati, keluhan, pertanyaan, dan sebagainya) [SEP] kedudukan	tempat	1
saya tidak yakin apa yang lebih menyenangkan di tempat ini - pemandangan atau kecak .. keduanya merupakan hal yang anda harus melihat ketika di bali! tarian ini menjadi hanya 1 jam-bermain, sinopsis semua pararasul tersedia dalam bahasa inggris, dan harus jujur tanpa itu, itu adalah sangat sulit untuk bayangan tersebut. [SEP] penglihatan [SEP] proses, cara, perbuatan memandang [SEP] keadaan alam yang indah dipandang [SEP] pengetahuan (dalam arti apa-apa yang diketahui) [SEP] ikhtisar, uraian, atau pembicaraan mengenai suatu hal	pemandangan	1
saya tidak yakin apa yang lebih menyenangkan di tempat ini - pemandangan atau kecak .. keduanya merupakan hal yang anda harus melihat ketika di bali! tarian ini menjadi hanya 1 jam-bermain, sinopsis semua pararasul tersedia dalam bahasa inggris, dan harus jujur tanpa itu, itu adalah sangat sulit untuk bayangan tersebut. [SEP] nama tarian Bali (yang dilakukan oleh puluhan orang laki-laki, menggambarkan pasukan kera pengikut Rama)	kecak	1
saya tidak yakin apa yang lebih menyenangkan di tempat ini - pemandangan atau kecak .. keduanya merupakan hal yang anda harus melihat ketika di bali! tarian ini menjadi hanya 1 jam-bermain, sinopsis semua pararasul tersedia dalam bahasa inggris, dan harus jujur tanpa itu, itu adalah sangat sulit untuk bayangan tersebut. [SEP] ikhtisar karangan yang biasanya diterbitkan bersama-sama dengan karangan asli yang menjadi dasar sinopsis itu [SEP] ringkasan cerita yang berisi cuplikan seluruh adegan sehingga membentuk tema cerita	sinopsis	0
nice trip round desa , kampung yang indah di dataran tinggi kota tempat yang sangat sejuk dan asri pls chat me by wa : +6281237790739 [SEP] kesatuan wilayah yang dihuni oleh sejumlah keluarga yang mempunyai sistem pemerintahan sendiri (dikepalai oleh seorang kepala desa) [SEP] kelompok rumah di luar kota yang merupakan kesatuan [SEP] udik atau dusun (dalam arti daerah pedalaman sebagai lawan kota) [SEP] tanah [SEP] suku bangsa Dayak yang mendiami beberapa desa di wilayah Kabupaten Sanggau, Provinsi Kalimantan Barat	desa	1
nice trip round desa , kampung yang indah di dataran tinggi kota tempat yang sangat sejuk dan asri pls chat me by wa : +6281237790739 [SEP] kelompok rumah yang merupakan bagian kota (biasanya dihuni orang berpenghasilan rendah) [SEP] desa [SEP] kesatuan administrasi terkecil yang menempati wilayah tertentu, terletak di bawah kecamatan [SEP] terbelakang (belum modern)	kampung	1
trek jalur lintas alam ini bisa dilalui dengan cukup mudah. butuh waktu sekitar 2,5 jam untuk melintasinya. di tengah-tengah jalur bisa istirahat di warung sambil ngemil atau minum. pemandangan  sungai  dan bangunan khas bali sangat indah. termasuk orang-orangan sawah yang mengalunkan melodi indah seiring dihembus angin. dan tentunya itu semua gratis. [SEP] pemindahan orang dan sebagainya dari daerah atau negeri [SEP] pemindahan bola dari pemain sayap ke tengah untuk diteruskan ke gawang lawan [SEP] jalur atau jalan yang dipakai untuk arena balap [SEP] jalur pada cakram dan disket tempat informasi direkam	trek	1
trek jalur lintas alam ini bisa dilalui dengan cukup mudah. butuh waktu sekitar 2,5 jam untuk melintasinya. di tengah-tengah jalur bisa istirahat di warung sambil ngemil atau minum. pemandangan  sungai  dan bangunan khas bali sangat indah. termasuk orang-orangan sawah yang mengalunkan melodi indah seiring dihembus angin. dan tentunya itu semua gratis. [SEP] penglihatan [SEP] proses, cara, perbuatan memandang [SEP] keadaan alam yang indah dipandang [SEP] pengetahuan (dalam arti apa-apa yang diketahui) [SEP] ikhtisar, uraian, atau pembicaraan mengenai suatu hal	pemandangan	1
trek jalur lintas alam ini bisa dilalui dengan cukup mudah. butuh waktu sekitar 2,5 jam untuk melintasinya. di tengah-tengah jalur bisa istirahat di warung sambil ngemil atau minum. pemandangan  sungai  dan bangunan khas bali sangat indah. termasuk orang-orangan sawah yang mengalunkan melodi indah seiring dihembus angin. dan tentunya itu semua gratis. [SEP] aliran air yang besar (biasanya buatan alam)	sungai	1
water boom bali adalah tempat yang bagus untuk mengunjungi. taman air yang bagus, meskipun taman air yang sedikit lebih besar daripada air boom tetapi pelayanan luar biasa, staf sangat membantu dan sangat menyenangkan. ada banyak perosotan  lebih dari 5 restoran dan banyak untuk melakukan aktivitas di air. juga hotel ini tempat di tengah-tengah kuta yang sangat mudah akses  [SEP] tempat rekreasi dengan fasilitas permainan yang menggunakan air	taman air	1
water boom bali adalah tempat yang bagus untuk mengunjungi. taman air yang bagus, meskipun taman air yang sedikit lebih besar daripada air boom tetapi pelayanan luar biasa, staf sangat membantu dan sangat menyenangkan. ada banyak perosotan  lebih dari 5 restoran dan banyak untuk melakukan aktivitas di air. juga hotel ini tempat di tengah-tengah kuta yang sangat mudah akses  [SEP] tempat rekreasi dengan fasilitas permainan yang menggunakan air	taman air	1
water boom bali adalah tempat yang bagus untuk mengunjungi. taman air yang bagus, meskipun taman air yang sedikit lebih besar daripada air boom tetapi pelayanan luar biasa, staf sangat membantu dan sangat menyenangkan. ada banyak perosotan  lebih dari 5 restoran dan banyak untuk melakukan aktivitas di air. juga hotel ini tempat di tengah-tengah kuta yang sangat mudah akses  [SEP] tempat rekreasi dengan fasilitas permainan yang menggunakan air	taman air	0
water boom bali adalah tempat yang bagus untuk mengunjungi. taman air yang bagus, meskipun taman air yang sedikit lebih besar daripada air boom tetapi pelayanan luar biasa, staf sangat membantu dan sangat menyenangkan. ada banyak perosotan  lebih dari 5 restoran dan banyak untuk melakukan aktivitas di air. juga hotel ini tempat di tengah-tengah kuta yang sangat mudah akses  [SEP] perihal atau cara melayani [SEP] usaha melayani kebutuhan orang lain dengan memperoleh imbalan (uang) [SEP] kemudahan yang diberikan sehubungan dengan jual beli barang atau jasa	pelayanan	1
water boom bali adalah tempat yang bagus untuk mengunjungi. taman air yang bagus, meskipun taman air yang sedikit lebih besar daripada air boom tetapi pelayanan luar biasa, staf sangat membantu dan sangat menyenangkan. ada banyak perosotan  lebih dari 5 restoran dan banyak untuk melakukan aktivitas di air. juga hotel ini tempat di tengah-tengah kuta yang sangat mudah akses  [SEP] sekelompok orang yang bekerja sama membantu seorang ketua dalam mengelola sesuatu [SEP] sekelompok perwira yang memimpin (mengatur dan sebagainya) tentara [SEP] bagian organisasi yang tidak mempunyai hak memberikan perintah, tetapi mempunyai hak membantu pimpinan, memberikan nasihat, dan sebagainya	staf	1
water boom bali adalah tempat yang bagus untuk mengunjungi. taman air yang bagus, meskipun taman air yang sedikit lebih besar daripada air boom tetapi pelayanan luar biasa, staf sangat membantu dan sangat menyenangkan. ada banyak perosotan  lebih dari 5 restoran dan banyak untuk melakukan aktivitas di air. juga hotel ini tempat di tengah-tengah kuta yang sangat mudah akses  [SEP] bangunan berkamar banyak yang disewakan sebagai tempat untuk menginap dan tempat makan orang yang sedang dalam perjalanan	hotel	1
kami sebagai turis driver sering kali mengunjungi hutan  salah satu yang terbaik adalah hutan kota karena tempatnya well organized, monyetnya di pelihara dengan baik, hutannya sangat lestari, banyak ada patung yang sangat artistic, ada jembatan yang sangat bagus bisa foto bila kita lewati itu, pelayanannya sangat ramah, setiap kami mengajak touris ke tempat ini pasti sangat puas. [SEP] tanah luas yang ditumbuhi pohon-pohon (biasanya tidak dipelihara orang) [SEP] tumbuhan yang tumbuh di atas tanah yang luas (biasanya di wilayah pegunungan) [SEP] yang tidak dipelihara orang	hutan	1
kami sebagai turis driver sering kali mengunjungi hutan  salah satu yang terbaik adalah hutan kota karena tempatnya well organized, monyetnya di pelihara dengan baik, hutannya sangat lestari, banyak ada patung yang sangat artistic, ada jembatan yang sangat bagus bisa foto bila kita lewati itu, pelayanannya sangat ramah, setiap kami mengajak touris ke tempat ini pasti sangat puas. [SEP] sesuatu yang dipakai untuk menaruh (menyimpan, meletakkan, dan sebagainya) [SEP] ruang (bidang, rumah, dan sebagainya) yang tersedia untuk melakukan sesuatu [SEP] ruang (bidang dan sebagainya) yang dipakai untuk menaruh (menyimpan, mengumpulkan, dan sebagainya) [SEP] ruang (bidang, rumah, daerah, dan sebagainya) yang didiami (ditinggali) atau ditempati [SEP] bagian yang tertentu dari suatu ruang (bidang, daerah, dan sebagainya) [SEP] negeri (kota, desa, daerah, dan sebagainya) [SEP] sesuatu yang dapat (dipercaya) menampung (tentang isi hati, keluhan, pertanyaan, dan sebagainya) [SEP] kedudukan	tempat	1
kami sebagai turis driver sering kali mengunjungi hutan  salah satu yang terbaik adalah hutan kota karena tempatnya well organized, monyetnya di pelihara dengan baik, hutannya sangat lestari, banyak ada patung yang sangat artistic, ada jembatan yang sangat bagus bisa foto bila kita lewati itu, pelayanannya sangat ramah, setiap kami mengajak touris ke tempat ini pasti sangat puas. [SEP] tanah luas yang ditumbuhi pohon-pohon (biasanya tidak dipelihara orang) [SEP] tumbuhan yang tumbuh di atas tanah yang luas (biasanya di wilayah pegunungan) [SEP] yang tidak dipelihara orang	hutan	1
kami sebagai turis driver sering kali mengunjungi hutan  salah satu yang terbaik adalah hutan kota karena tempatnya well organized, monyetnya di pelihara dengan baik, hutannya sangat lestari, banyak ada patung yang sangat artistic, ada jembatan yang sangat bagus bisa foto bila kita lewati itu, pelayanannya sangat ramah, setiap kami mengajak touris ke tempat ini pasti sangat puas. [SEP] tiruan bentuk orang, hewan, dan sebagainya dibuat (dipahat dan sebagainya) dari batu, kayu, dan sebagainya [SEP] golek [SEP] → sepatung [SEP] empatung	patung	1
kami sebagai turis driver sering kali mengunjungi hutan  salah satu yang terbaik adalah hutan kota karena tempatnya well organized, monyetnya di pelihara dengan baik, hutannya sangat lestari, banyak ada patung yang sangat artistic, ada jembatan yang sangat bagus bisa foto bila kita lewati itu, pelayanannya sangat ramah, setiap kami mengajak touris ke tempat ini pasti sangat puas. [SEP] jalan (dari bambu, kayu, beton, dan sebagainya) yang direntangkan di atas sungai (jurang, tepi pangkalan, dan sebagainya) [SEP] perantara [SEP] peranti yang menghubungkan dua jaringan area lokal, jaringan itu menggunakan protokol yang sama atau tidak, dan memungkinkan informasi mengalir di antara jaringan tersebut	jembatan	1
kami sebagai turis driver sering kali mengunjungi hutan  salah satu yang terbaik adalah hutan kota karena tempatnya well organized, monyetnya di pelihara dengan baik, hutannya sangat lestari, banyak ada patung yang sangat artistic, ada jembatan yang sangat bagus bisa foto bila kita lewati itu, pelayanannya sangat ramah, setiap kami mengajak touris ke tempat ini pasti sangat puas. [SEP] perihal atau cara melayani [SEP] usaha melayani kebutuhan orang lain dengan memperoleh imbalan (uang) [SEP] kemudahan yang diberikan sehubungan dengan jual beli barang atau jasa	pelayanan	1
kami mengunjungi pura minggu terakhir, tempat ini menakjubkan menghadap laut dengan dinding yang beroperasi di sepanjang tebing. masalah terbesar adalah kera, mereka sangat agresif dan mengambil kacamata anda/teropongmu dari wajah anda. salah satu monyet menarik teropong dan memanjat tembok ke dalam semak-semak, ini adalah saya tidak pernah memiliki kebutuhan khusus. panduan untunglaji memanjat dinding dan menawarkan makanan sehingga ia bisa mengambil monyet teropong  saya akan memperingatkan semua orang untuk mengenakan kacamata anda di dalam saku anda dan menjaga mata anda monyet. aku tidak akan pergi kembali sana lagi! [SEP] pundi-pundi dari kain (tempat uang) [SEP] bursa [SEP] dana (uang yang disediakan untuk suatu maksud) [SEP] kota [SEP] tempat beribadat (bersembahyang) umat Hindu [SEP] istana	pura	1
